"SYS.STBR-NAME","ACCT-NO","REFERENCE NUMBER","VC-NUMBER-CAT","VENDORCUSTOMER NAME","POST-DATE-CAT","TIME-DR","GL-DESC","RECID","REF-NO","SLS-GRS-PFT-CAT","JRNL-DATE","RO-NO","SRC","UDF.SOURCE DESCRIPTION"
"Honda of Concord","1260A",395418,195895,"NAPA AUTO PARTS","06/16/25","09:24","P & A HONDA CARS",191177,395418,,"06/16/25",18,9,"GENERAL PURCHASES"
"Honda of Concord","1260A","K1W103962-1",888175,"HENDRICK KIA CONCORD","06/16/25","09:25","P & A HONDA CARS",191178,"K1W103962-1",,"06/16/25","03962-1",9,"GENERAL PURCHASES"
"Honda of Concord","1260A","CHW210315",888169,"HENDRICK CHRYSLER DODGE JEEP RAM FI","06/16/25","09:25","P & A HONDA CARS",191179,"CHW210315",,"06/16/25",10315,9,"GENERAL PURCHASES"
"Honda of Concord","1260A",166577706,30818,"LKQ SALISBURY","06/16/25","09:25","P & A HONDA CARS",191180,166577706,,"06/16/25",77706,9,"GENERAL PURCHASES"
"Honda of Concord","1260A","TOC471249",999038,"HENDRICK TOYOTA CONCORD","06/16/25","10:36","P & A HONDA CARS",191278,"TOC471249",,"06/16/25",71249,9,"GENERAL PURCHASES"
"Honda of Concord","1260A","HOR419632",999144,"HENDRICK HONDA POMPANO BEACH","06/16/25","10:36","P & A HONDA CARS",191280,"HOR419632",,"06/16/25",19632,9,"GENERAL PURCHASES"
"Honda of Concord","1260A","TOC471036",999038,"HENDRICK TOYOTA CONCORD","06/16/25","10:37","P & A HONDA CARS",191282,"TOC471036",,"06/16/25",71036,9,"GENERAL PURCHASES"
"Honda of Concord","1260A","TOC471036-1",999038,"HENDRICK TOYOTA CONCORD","06/16/25","10:37","P & A HONDA CARS",191285,"TOC471036-1",,"06/16/25","71036-1",9,"GENERAL PURCHASES"
"Honda of Concord","1260A","CVW607775",999002,"RICK HENDRICK CITY CHEVROLET","06/16/25","10:38","P & A HONDA CARS",191287,"CVW607775",,"06/16/25",07775,9,"GENERAL PURCHASES"
"Honda of Concord","1260A","TOC471465",999038,"HENDRICK TOYOTA CONCORD","06/16/25","10:38","P & A HONDA CARS",191290,"TOC471465",,"06/16/25",71465,9,"GENERAL PURCHASES"
"Honda of Concord","1260A","ACX166142",999015,"HENDRICK ACURA","06/16/25","10:38","P & A HONDA CARS",191293,"ACX166142",,"06/16/25",66142,9,"GENERAL PURCHASES"
"Honda of Concord","1260A","CVW606308-1",999002,"RICK HENDRICK CITY CHEVROLET","06/16/25","10:39","P & A HONDA CARS",191294,"CVW606308-1",,"06/16/25","06308-1",9,"GENERAL PURCHASES"
"Honda of Concord","1260A","CVW605977-5",999002,"RICK HENDRICK CITY CHEVROLET","06/16/25","10:39","P & A HONDA CARS",191296,"CVW605977-5",,"06/16/25","05977-5",9,"GENERAL PURCHASES"
"Honda of Concord","1260A","TOC471285",999038,"HENDRICK TOYOTA CONCORD","06/16/25","10:39","P & A HONDA CARS",191298,"TOC471285",,"06/16/25",71285,9,"GENERAL PURCHASES"
"Honda of Concord","1260A","TOC471285-1",999038,"HENDRICK TOYOTA CONCORD","06/16/25","10:41","P & A HONDA CARS",191302,"TOC471285-1",,"06/16/25","71285-1",9,"GENERAL PURCHASES"
"Honda of Concord","1260A","TOC471319",999038,"HENDRICK TOYOTA CONCORD","06/16/25","10:41","P & A HONDA CARS",191304,"TOC471319",,"06/16/25",71319,9,"GENERAL PURCHASES"
"Honda of Concord","1260A","TOC471302",999038,"HENDRICK TOYOTA CONCORD","06/16/25","10:41","P & A HONDA CARS",191306,"TOC471302",,"06/16/25",71302,9,"GENERAL PURCHASES"
"Honda of Concord","1260A","TOC471274",999038,"HENDRICK TOYOTA CONCORD","06/16/25","10:42","P & A HONDA CARS",191308,"TOC471274",,"06/16/25",71274,9,"GENERAL PURCHASES"
"Honda of Concord","1260A","TOC471286",999038,"HENDRICK TOYOTA CONCORD","06/16/25","10:43","P & A HONDA CARS",191312,"TOC471286",,"06/16/25",71286,9,"GENERAL PURCHASES"
"Honda of Concord","1260A","MNWCM69999-1",999170,"HENDRICK MERCEDES NORTHLAKE","06/16/25","10:43","P & A HONDA CARS",191315,"MNWCM69999-1",,"06/16/25","M69999-1",9,"GENERAL PURCHASES"
"Honda of Concord","1260A","TOC471149-1",999038,"HENDRICK TOYOTA CONCORD","06/16/25","10:44","P & A HONDA CARS",191364,"TOC471149-1",,"06/16/25","71149-1",9,"GENERAL PURCHASES"
"Honda of Concord","1260A","TOC471141-2",999038,"HENDRICK TOYOTA CONCORD","06/16/25","10:45","P & A HONDA CARS",191365,"TOC471141-2",,"06/16/25","71141-2",9,"GENERAL PURCHASES"
"Honda of Concord","1260A","TOC471143-2",999038,"HENDRICK TOYOTA CONCORD","06/16/25","10:45","P & A HONDA CARS",191366,"TOC471143-2",,"06/16/25","71143-2",9,"GENERAL PURCHASES"
"Honda of Concord","1260A","MNW73450",999170,"HENDRICK MERCEDES NORTHLAKE","06/16/25","10:45","P & A HONDA CARS",191368,"MNW73450",,"06/16/25",3450,9,"GENERAL PURCHASES"
"Honda of Concord","1260A","BNW204685-1",999171,"HENDRICK BMW NORTHLAKE","06/16/25","10:46","P & A HONDA CARS",191372,"BNW204685-1",,"06/16/25","04685-1",9,"GENERAL PURCHASES"
"Honda of Concord","1260A","LNW147944",999172,"HENDRICK LEXUS NORTHLAKE","06/16/25","10:46","P & A HONDA CARS",191373,"LNW147944",,"06/16/25",47944,9,"GENERAL PURCHASES"
"Honda of Concord","1260A","LNW147945",999172,"HENDRICK LEXUS NORTHLAKE","06/16/25","10:47","P & A HONDA CARS",191375,"LNW147945",,"06/16/25",47945,9,"GENERAL PURCHASES"
"Honda of Concord","1260A","MNW73455-1",999170,"HENDRICK MERCEDES NORTHLAKE","06/16/25","10:47","P & A HONDA CARS",191377,"MNW73455-1",,"06/16/25","3455-1",9,"GENERAL PURCHASES"
"Honda of Concord","1260A","TOC471125",999038,"HENDRICK TOYOTA CONCORD","06/16/25","10:47","P & A HONDA CARS",191378,"TOC471125",,"06/16/25",71125,9,"GENERAL PURCHASES"
"Honda of Concord","1260A","HOI463630",999006,"HONDA OF CONCORD","06/16/25","10:49","P & A HONDA CARS",191389,"HOI463630",0.39,"06/16/25",63630,4,"PARTS"
"Honda of Concord","1260A","HOIB543492",100,"HONDA OF CONCORD","06/16/25","13:10","P & A HONDA CARS",191608,"HOIB543492",687.17,"06/16/25",543492,3,"REPAIR ORDER"
"Honda of Concord","1260A","HOIB543492",100,"HONDA OF CONCORD","06/16/25","13:10","P & A HONDA CARS",191608,"HOIB543492",687.17,"06/16/25",543492,3,"REPAIR ORDER"
