"SYS.STBR-NAME","PART#","PTS MK NAME","DESC","BASE-COST","NEW CORE PARTS","QOH","STAT","LAST SLS","LAST-RECV-DATE","SRC","BIN1","BIN2","COST","LIST","OLD PARTS NUMBER","CORE-QTY","GRP","ASSORTMENT-CLASS","STAT","UDF.EXT NEW CORE APP","NUMBER OF UNITS PER PKG","DIRTY CORE PARTS","BIN FOR DIRTY CORE"
"Honda of Concord","HP06170-TVA-306","HONDA","KIT, FUEL PUMP",34.18,0.00,4,,"06/14/25","06/10/25",6,162,,34.18,56.97,,,06999,,,0,1,0.00,162
"Honda of Concord","HP06170-TVC-306","HONDA","KIT, FUEL PUMP",28.39,0.00,2,,"06/07/25","06/07/25",6,162,,28.39,47.31,,,16700,,,0,1,0.00,162
"Honda of Concord","HP06170-TZ5-305","HONDA","KIT, FUEL PUMP",34.11,0.00,4,,"06/13/25","06/12/25",6,162,,34.11,56.86,,,06999,,,0,1,0.00,162
"Honda of Concord","HP06192-R1A-305","HONDA","WATER PUMP KIT",155.93,0.00,1,,"05/28/25","05/28/25",8,192,,155.93,259.88,"HP06194-RNA-305",,19200,,,0,1,0.00,192
"Honda of Concord","HP06193-59B-306","HONDA","THERMOSTAT SET",43.14,0.00,1,"AP","01/29/25","12/03/24",6,"SPORD",,43.14,71.90,,,19300,,"AP",0,1,0.00,"SPORD"
"Honda of Concord","HP06237-5J4-010","HONDA","PLUG, SCREW (ATF)",22.57,0.00,3,,"05/21/25","05/22/25",4,106,,22.57,37.62,"HP06237-5J4-000",0,90800,,,0,1,0.00,106
"Honda of Concord","HP06311-R40-505RM","HONDA","ALTERNATOR ASSY",303.59,75.00,1,,"05/07/25","05/08/25",5,104,,303.59,505.99,,0,"311RM",,,0,1,0.00,104
"Honda of Concord","HP06311-R70-505RM","HONDA","ALTNTR(104210-5910)",328.32,75.00,1,,"04/28/25","04/29/25",5,104,,328.32,547.20,,0,"311RM",,,0,1,0.00,104
"Honda of Concord","HP06311-R70-506RM","HONDA","ALTERNATOR, RM",344.45,75.00,1,,"06/05/25","06/06/25",5,104,,344.45,574.08,,0,"311RM",,,0,1,0.00,104
"Honda of Concord","HP06311-RGW-505RM","HONDA","ALTNTR(104210-5920)",340.94,75.00,1,,"06/13/25","06/14/25",5,104,,340.94,568.24,,1,"311RM",,,0,1,75.00,104
