SYS.STBR-NAME,MAKE,DTL-6,DTL-CAT,TRANS-DATE,DOROTHY HILL,TRANS #,PART #,DESC,Ideal Components,TRANS-TYPE,TRANS-QTY,Central Supply,SALE,SRC-CAT,USER-ID,INV-NO,BIN1-DR,ADV-NO,CTRMN,CUST-NO,CUST-PO,PART-NO
Delta Dealer,HP,,,06/16/25,12:07,681-35191,FAKE_1,0W20VAL/MAXLIFE,,SLS,4,2.52,6.18,18,143702WBLACK,FAKE_27,BULK,141903,143702,595248,,HPSAE020
Delta Dealer,HP,,,06/16/25,12:13,682-35191,TINT2,TINT,,SLS,1,15.00,51.00,19,143702WBLACK,FAKE_135,TINT,130184,143702,999006,,HPTINT2
Delta Dealer,HP,,,06/16/25,12:13,683-35191,PPF,MARK GREEN,,SLS,1,30.00,50.00,19,143702WBLACK,FAKE_135,PPF,130184,143702,999006,,HPPPF
Delta Dealer,HP, ,  AY     P,06/16/25,12:14,684-35191,42753-SB8-661,"VALVE, RIM",,SLS,1,1.03,6.89,1,143702WBLACK,FAKE_126,CTR,571852,143702,556750,,HP42753-SB8-661
Delta Dealer,HP,,,06/16/25,12:15,685-35191,TINT2,TINT,,SLS,1,15.00,51.00,19,143702WBLACK,FAKE_136,TINT,130184,143702,999006,,HPTINT2
Delta Dealer,HP,,,06/16/25,12:15,686-35191,PPF,MARK GREEN,,SLS,1,30.00,50.00,19,143702WBLACK,FAKE_136,PPF,130184,143702,999006,,HPPPF
Delta Dealer,HP,,,06/16/25,12:15,687-35191,TINT2,TINT,,SLS,1,15.00,51.00,19,143702WBLACK,FAKE_137,TINT,130184,143702,999006,,HPTINT2
Delta Dealer,HP,,,06/16/25,12:15,688-35191,PPF,MARK GREEN,,SLS,1,30.00,50.00,19,143702WBLACK,FAKE_137,PPF,130184,143702,999006,,HPPPF
Delta Dealer,HP, ,  AY     P,06/16/25,12:16,689-35191,15815-R40-A01,"FILTER, SPOOL VALVE",,SLS,1,6.75,29.00,4,143702WBLACK,FAKE_98,190E,136057,143702,160919,,HP15815-R40-A01
Delta Dealer,HP, ,  AY     P,06/16/25,12:16,690-35191,45022-TE0-A62,PAD SET (17CL-1),,SLS,1,48.47,90.00,12,143702WBLACK,FAKE_98,137,136057,143702,160919,,HP45022-TE0-A62
Delta Dealer,HP, ,  AY     P,06/16/25,12:19,691-35191,12341-5G0-A00,Noble Components,,SLS,1,11.42,39.12,2,143702WBLACK,FAKE_138,196C,141903,143702,540671,,HP12341-5G0-A00
Delta Dealer,HP, ,  AY     P,06/16/25,12:19,692-35191,12351-5G0-A00,Trust Supply,,SLS,1,11.42,39.12,3,143702WBLACK,FAKE_138,196D,141903,143702,540671,,HP12351-5G0-A00
Delta Dealer,HP, ,  BY     P,06/16/25,12:19,693-35191,12343-5G0-000,DANIEL YOUNG,,SLS,6,12.52,42.69,1,143702WBLACK,FAKE_138,196D,141903,143702,540671,,HP12343-5G0-000
